[0.000000] (-) TimerEvent: {}
[0.000208] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000239] (-) JobUnselected: {'identifier': 'cv_bridge'}
[0.000253] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000265] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000276] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000287] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000297] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000307] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000318] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000330] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000340] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000561] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000576] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000588] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000598] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000609] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000619] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000629] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000639] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000650] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000661] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000671] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000681] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000691] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000701] (-) JobUnselected: {'identifier': 'first_package'}
[0.000711] (-) JobUnselected: {'identifier': 'image_converter'}
[0.000721] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.000731] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.000740] (-) JobUnselected: {'identifier': 'image_proc'}
[0.000750] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.000760] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.000770] (-) JobUnselected: {'identifier': 'image_view'}
[0.000780] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000790] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.000800] (-) JobUnselected: {'identifier': 'sprint2'}
[0.000810] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.000820] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.000830] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.000841] (-) EventReactorShutdown: {}
